id;betweenesscentrality;institution;pageranks
HUSSAIN A;217.16666666666666;UNIV STIRLING, SCOTLAND;0.015367006957579468
CAMBRIA E;130.83333333333334;NANYANG TECHNOL UNIV, SINGAPORE;0.01785775529961689
VATRAPU R;122.83333333333333;WESTERDALS OSLO SCH ARTS COMMUN & TECHNOL, NORWAY;0.01651158295471569
MUKKAMALA RR;42.833333333333336;IT UNIV COPENHAGEN, DENMARK;0.009678174595825264
BISIO F;38.00.00;UNIV GENOA, ITALY;0.010125929346694712
HOWARD N;18.00;UNIV OXFORD, ENGLAND;0.007621074770561144
WANG JH;11.00;NATL TAIPEI UNIV TECHNOL, TAIWAN;0.008338612769774318
JUNG JJ;4.00;CHUNG ANG UNIV, SOUTH KOREA;0.01071503339021358
PORIA S;0.8333333333333333;UNIV STIRLING, SCOTLAND;0.007286961879069979
COTE M;0.6666666666666666;KINGS COLL LONDON, ENGLAND;0.007638575295556407
GREENWAY G;0.6666666666666666;KINGS COLL LONDON, ENGLAND;0.007638575295556407
BLANKE T;0.6666666666666666;KINGS COLL LONDON, ENGLAND;0.007638575295556407
TAKASU A;0.25;NATL INST INFORMAT, JAPAN;0.0071371361476552635
AIHARA K;0.25;NATL INST INFORMAT, JAPAN;0.0071371361476552635
HUANG GB;0.25;NANYANG TECHNOL UNIV, SINGAPORE;0.006190361287265037
IMURA H;0.25;HOKKAIDO UNIV, JAPAN;0.0071371361476552635
GELBUKH A;0.25;INST POLITECN NACL, MEXICO;0.00618718653810127
TANAKA Y;0.25;HOKKAIDO UNIV, JAPAN;0.0071371361476552635